epoch,cosine_similarity,loss,val_cosine_similarity,val_loss
0,-0.7505497336387634,0.002241665031760931,-0.7952096462249756,0.0018872569780796766
1,-0.7966655492782593,0.001869456609711051,-0.8147254586219788,0.0017178354319185019
2,-0.8140307664871216,0.0017217736458405852,-0.8317888379096985,0.0015735139604657888
3,-0.8294121026992798,0.0015905997715890408,-0.8441459536552429,0.0014675450511276722
4,-0.8386208415031433,0.0015133126871660352,-0.8539276123046875,0.0013941897777840495
5,-0.8469208478927612,0.0014469840098172426,-0.859963059425354,0.0013341495068743825
6,-0.8532182574272156,0.0013934449525550008,-0.8657069802284241,0.0012857005931437016
7,-0.8582629561424255,0.0013521438231691718,-0.871462881565094,0.0012475077528506517
8,-0.863525390625,0.001313313259743154,-0.8766456246376038,0.0011997793335467577
9,-0.8681787848472595,0.0012758031953126192,-0.8810232281684875,0.00117706588935107
10,-0.8733188509941101,0.001237649703398347,-0.8850601315498352,0.0011463852133601904
11,-0.8774142265319824,0.0012068364303559065,-0.8903595805168152,0.001105430070310831
12,-0.8811718821525574,0.001176189398393035,-0.8927189707756042,0.0010866725351661444
13,-0.8849870562553406,0.0011460272362455726,-0.8980945944786072,0.0010449201799929142
14,-0.8878377079963684,0.0011229643132537603,-0.900164783000946,0.0010212387423962355
15,-0.891552209854126,0.0010957187041640282,-0.9027462005615234,0.0010107406415045261
16,-0.8944875597953796,0.0010716874385252595,-0.9075117111206055,0.0009647232363931835
17,-0.8963396549224854,0.0010560979135334492,-0.9089977741241455,0.0009553137351758778
18,-0.8987839818000793,0.0010361575987190008,-0.9087367653846741,0.0009633537847548723
19,-0.8982349038124084,0.0010385605273768306,-0.908973753452301,0.0009576588054187596
20,-0.9010910987854004,0.0010166473221033812,-0.910793662071228,0.0009438212728127837
21,-0.9022722840309143,0.0010061708744615316,-0.9108095765113831,0.0009417212568223476
22,-0.9078784584999084,0.0009530060924589634,-0.9166592955589294,0.000889051181729883
23,-0.9089508056640625,0.0009429903002455831,-0.9176774621009827,0.0008895981591194868
24,-0.9092951416969299,0.0009390752529725432,-0.9180862307548523,0.0008865413255989552
25,-0.9097497463226318,0.0009363911231048405,-0.917849600315094,0.0008826828561723232
26,-0.9099991917610168,0.0009342715493403375,-0.9180530309677124,0.0008795987232588232
27,-0.9105879664421082,0.0009274800540879369,-0.9183495044708252,0.000877926591783762
28,-0.9109148979187012,0.0009263016982004046,-0.918389081954956,0.000878595863468945
29,-0.9109342098236084,0.0009258280042558908,-0.9184542298316956,0.0008781338692642748
30,-0.9107030630111694,0.0009264264372177422,-0.9184291958808899,0.0008774697780609131
31,-0.9108714461326599,0.0009257059427909553,-0.9185128808021545,0.0008771310094743967
32,-0.9110367298126221,0.0009247959242202342,-0.9184929132461548,0.0008771857828833163
33,-0.911148726940155,0.0009233981836587191,-0.9184927940368652,0.0008770431741140783
34,-0.9109635353088379,0.0009263077517971396,-0.9184970259666443,0.0008770815911702812
35,-0.911206841468811,0.0009229824645444751,-0.9185011386871338,0.0008769987034611404
36,-0.9109792709350586,0.0009234325843863189,-0.918508768081665,0.0008770382846705616
37,-0.9112468361854553,0.0009233981836587191,-0.9185100197792053,0.000877023208886385
